관광상품번호(NameID),관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,도로명전체주소,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,주메뉴,좌표정보(위도),좌표정보(경도),위생업태명,다중이용업소여부,음식점 분류,카테고리
4001239,5360000-101-2015-00051,2015-05-12,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로1길 23 (삼문동),경상남도 밀양시 삼문동 741-10번지,짬뽕집밀양점,2017-05-15,I,2018-08-31,중국식,짬뽕+차돌짬뽕+해물짬뽕,35.48096945,128.747835,중국식,N,일반음식점,중식
4001240,5360000-101-2014-00021,2014-03-07,1,영업/정상,13,영업중,경상남도 밀양시 하남읍 수산복개길 26-1,경상남도 밀양시 하남읍 수산리 808-35번지,짜장나라,2017-11-07,I,2018-08-31,한식,짜장면,35.37532948,128.707612,중국식,N,일반음식점,중식
4001241,5360000-101-2018-00028,2018-04-03,1,영업/정상,13,영업중,"경상남도 밀양시 석정로 103, 1층 (내이동)",경상남도 밀양시 내이동 619-17번지,호식이두마리치킨 교동점,2018-05-25,U,2018-08-31,호프(소주방)+통닭(치킨),레몬크림탕슈,35.49897229,128.751747,호프(소주방)+통닭(치킨),N,일반음식점,치킨
4001242,5360000-101-2017-00113,2017-12-04,1,영업/정상,13,영업중,,경상남도 밀양시 삼문동 580-1번지,지코바치킨 삼문점,2018-05-25,I,2018-08-31,호프(소주방)+통닭(치킨),뼈소금구이+뼈양념구이+순살소금구이,35.48195981,128.7490629,호프(소주방)+통닭(치킨),N,일반음식점,치킨
4001243,5360000-101-2001-00183,2001-10-31,1,영업/정상,13,영업중,경상남도 밀양시 상남면 예림2길 38-22,경상남도 밀양시 상남면 예림리 942-291,두레마을,2017-11-30,I,2018-08-31,한식,갈비,35.46976828,128.7619078,한식,N,일반음식점,한식
4001244,5360000-101-2017-00063,2017-06-16,1,영업/정상,13,영업중,"경상남도 밀양시 북성로 7, 11-3호 (내이동)",경상남도 밀양시 내이동 1187-1번지,하이밀베이커리(하이밀분식),2018-06-28,I,2018-08-31,분식,분식,35.49854718,128.7432775,분식,N,일반음식점,분식
4001245,5360000-101-2017-00075,2017-07-20,1,영업/정상,13,영업중,"경상남도 밀양시 시청서길 40, 1층 101호 (내이동)",경상남도 밀양시 내이동 1524-13,돈쥬,2020-07-31,U,2020-08-02,경양식,옛날돈까스+돈쥬정식+함박스테이크+생선까스,35.50221505,128.7414481,경양식,N,일반음식점,양식
4001246,5360000-101-2001-00137,2001-08-14,1,영업/정상,13,영업중,"경상남도 밀양시 밀양대로 1783-4, 1층 101호 (삼문동)",경상남도 밀양시 삼문동 523-11,시원어탕(시원민물매운탕),2004-02-19,U,2018-08-31,한식,시원어탕,35.48434514,128.7510619,한식,N,일반음식점,한식
4001247,5360000-101-2001-00136,2001-07-18,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로2길 25 (삼문동),경상남도 밀양시 삼문동 522-2번지,대청정,2017-11-22,I,2018-08-31,한식,정식+김치찌개+제육볶음+삼겹살+백숙,35.48400954,128.7513598,한식,N,일반음식점,한식
4001248,5360000-101-2017-00071,2017-07-07,1,영업/정상,13,영업중,"경상남도 밀양시 하남읍 수산중앙로 54, 1층 101호",경상남도 밀양시 하남읍 수산리 469-5,카페밀양,2020-09-01,U,2020-09-03,경양식,아메리카노+바닐라크림라떼+생레몬아이스,35.37478767,128.7112997,경양식,N,일반음식점,카페(디저트)
4001249,5360000-101-2001-00139,2001-08-28,1,영업/정상,13,영업중,경상남도 밀양시 삼문1길 5-2 (삼문동),경상남도 밀양시 삼문동 542-5,미소오리,2020-09-25,U,2020-09-27,한식,한마리+반마리+오리탕 대,35.48500339,128.7521271,한식,N,일반음식점,한식
4001250,5360000-101-2017-00069,2017-07-03,1,영업/정상,13,영업중,"경상남도 밀양시 중앙로 146-1, 1층 (가곡동)",경상남도 밀양시 가곡동 647-23,일사륙돼지,2020-04-21,U,2020-04-23,호프(소주방)+통닭(치킨),석쇠간장불백+석쇠고추장불백+간장불백과메밀소바+고추장불백과메밀소바,35.47853699,128.7639605,호프(소주방)+통닭(치킨),N,일반음식점,한식
